Sl No,SPIN ID,Item Name,L1,IM Images,UOM,Instamart URL
172,GPQZQ2PWLA,Crocs Mens Classic Crocs Slide Blue,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/3/13/f0cc2825-3a5c-4a12-b525-1526d97aedeb_BeltsWalletsBagsinstamax_71NMBU8K0I_MN.PNG,1Piece,https://www.swiggy.com/stores/instamart/p/GPQZQ2PWLA?custom_back=true
173,ZY3G7YFNO0,CELLO Puro Steel-X Benz 900 | Leak Proof| Wide Mouth & Easy to Open | Insulated Inner Steel Water Bottle | 730ml | Peach,Kitchen and Dining,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/11/cf86b7b9-9d8c-439e-8f6a-0bcfdb4381df_73397_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/ZY3G7YFNO0?custom_back=true
174,ZNW7Z0XH83,playR Training T-Shirt Red - XL,Home and Kitchen Needs,https://instamart-media-assets.swiggy.com/swiggy/image/upload/e16447c0742c973dcaed2d086ece23d5,1Piece,https://www.swiggy.com/stores/instamart/p/ZNW7Z0XH83?custom_back=true
175,IRJJ6UIIJM,Oye Happy Mata ka Chunri long red,Home and Kitchen Needs,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/3/8f39e9ab-2396-4018-baf9-3c5f9df5898e_257536_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/IRJJ6UIIJM?custom_back=true
176,5F6V6CCX8O,Just Lil Things Artificial Gold Bracelets jltb0228,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/21/29797431-db71-4f85-aeb7-c3e7b1226cd5_173716_1.png,25g,https://www.swiggy.com/stores/instamart/p/5F6V6CCX8O?custom_back=true
177,MC66YCVM2F,PicFest Darcula Vampire Mask - Full Head,Party Planning,https://instamart-media-assets.swiggy.com/swiggy/image/upload/0fbb5c5d09692dda43d0fcb1b869d8b8,1Piece,https://www.swiggy.com/stores/instamart/p/MC66YCVM2F?custom_back=true
178,6BIWSARYF1,Mia by Tanishq Silver Round Pendant - 4020PDY,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/12/feea1f13-09aa-428b-818a-0f4b8cd20c44_440181_1.png,4.27g,https://www.swiggy.com/stores/instamart/p/6BIWSARYF1?custom_back=true
179,23MSYPQ6MH,Crocs Mens Classic All-Terrain Flip Flop Yellow,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/529a44d4-56e8-4da4-b4ec-b38fe57999ea_BeltsWalletsBagsinstamax_8W97WJXP8B_MN.png,5UK,https://www.swiggy.com/stores/instamart/p/23MSYPQ6MH?custom_back=true
180,HA2VN65YS9,Crocs Womens Kadee II Graphic Sandal Orange,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/df3f272b-514f-4678-b6a4-3664e444b7d7_BeltsWalletsBagsinstamax_HNI6U5CS6G_MN.jpg,3UK,https://www.swiggy.com/stores/instamart/p/HA2VN65YS9?custom_back=true
181,JP6RUB9XRS,Just Lil Things-white-hoop-earrings-jlt12062,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/17/5a96a5f1-f22e-4c1f-ba31-ff2aaa3870b8_496631_1.png,1Pair,https://www.swiggy.com/stores/instamart/p/JP6RUB9XRS?custom_back=true
182,16GILY8MSF,Just Lil Things Silver Crescent Moon Necklace jltn0689,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/21/1b18ad0f-06b2-48bc-890f-4c5088521b74_365304_1.png,25g,https://www.swiggy.com/stores/instamart/p/16GILY8MSF?custom_back=true
183,9KC22JNV60,Crocs Womens Splash Glitter Flip Flop Black_UK7,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/a1d739fd-9152-488d-afa2-89c6f4e520c2_BeltsWalletsBagsinstamax_39PBVHMLXI_MN.PNG,1Piece,https://www.swiggy.com/stores/instamart/p/9KC22JNV60?custom_back=true
184,GURUAFQGVF,Just Lil Things Gold-Plated Herringbone Necklace with Crystal Accents â€“ Modern Elegant Jewelry-jltn0564,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/21/fd40f0a5-177f-4a35-9f6f-d020f1f33b47_602678_1.png,25g,https://www.swiggy.com/stores/instamart/p/GURUAFQGVF?custom_back=true
185,43H8RIV9U4,Crocs Womens Splash Studded Flip Flop Red,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/70cce53d-953e-47e7-840e-a1f1a9fd4c5b_BeltsWalletsBagsinstamax_J45KXFTCPW_MN.PNG,3UK,https://www.swiggy.com/stores/instamart/p/43H8RIV9U4?custom_back=true
186,RHL5BIWAPR,Crocs Womens Splash Glitter Flip Flop Grey,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/27/1824ce49-fd0d-49a5-8d4a-ab7f5a2945d1_BeltsWalletsBagsinstamax_NJ4H63HYUR_MN.png,5UK,https://www.swiggy.com/stores/instamart/p/RHL5BIWAPR?custom_back=true
187,B51A4XISLZ,Just Lil Things Artifical Gold Ring jltr0141,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/21/6d98cf06-aee0-405f-adba-29ab2cedff6a_703751_1.png,25g,https://www.swiggy.com/stores/instamart/p/B51A4XISLZ?custom_back=true
188,DI5AX7UELD,Delight foods Pudina Matthi,Munchies And Snacks,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/7/271853dd-98a1-4f96-930e-0c0ba5a0f7e4_856266_1.png,300g,https://www.swiggy.com/stores/instamart/p/DI5AX7UELD?custom_back=true
189,LMICI256M8,Delight foods Premium Sona Chokhao Black Rice,"Atta, Rice and Dals",https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/27/b301d3e0-7452-4e3d-9f75-c6faab8a30d7_543922_1.png,1kg,https://www.swiggy.com/stores/instamart/p/LMICI256M8?custom_back=true
190,1TFIJZTFYL,Delight foods Khus Angoori Petha,Ice Cream and Indian Sweets,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/7/5507212e-cac5-4b3a-be61-77bb4d6eb164_204076_1.png,350g,https://www.swiggy.com/stores/instamart/p/1TFIJZTFYL?custom_back=true
191,3A0MO6KGRD,Diacraft Casino Premium Poker Chips set of 300 with Playing cards & Suitcase,Home and Kitchen Needs,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/9/4/9cea5127-8fa7-4455-a8b4-540e08f3bf66_835225_1.png,300g,https://www.swiggy.com/stores/instamart/p/3A0MO6KGRD?custom_back=true
192,PAA9RMUZKB,Crocs Womens Boca Wedge Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/c0faa35e-fc5e-40f2-b415-bd0ba7bbd11d_BeltsWalletsBagsinstamax_STBCKVYOLI_MN.jpg,5UK,https://www.swiggy.com/stores/instamart/p/PAA9RMUZKB?custom_back=true
193,Q0B2WXQ2G4,"Sony Wf-C510 Truly Wireless Bluetooth Earbuds with Mic, TWS, Up to 22 Hours Battery, in Ear, Ambient Sound Mode, Small and Comfortable, Ipx4- Black",Electronics and Appliances,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/14/b60832f0-f800-4616-99ff-78a1e8c0bf3b_649350_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/Q0B2WXQ2G4?custom_back=true
194,CHQ2AJ2G2B,"CELLO Altro Neo Lunch Box, Neo Yellow 700ml, 2 Container Lunch Box for Kids|Steel Insulated Lunch Box with Veg Box|Leak-Proof Air Tight Container Tiffin Box for Kids",Kitchen and Dining,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/11/cb31bbc5-8c61-4455-b7bf-846ab7e04934_73458_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/CHQ2AJ2G2B?custom_back=true
195,QHYIJNQRJK,Quace Pumkin Halloween Basket (Small),Toys,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/17/5bc9f7d4-5011-425f-a075-91d585926adb_106336_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/QHYIJNQRJK?custom_back=true
196,KYC22KI0W2,Crocs Womens Splash Studded Flip Flop Red_UK4,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/70cce53d-953e-47e7-840e-a1f1a9fd4c5b_BeltsWalletsBagsinstamax_J45KXFTCPW_MN.PNG,4UK,https://www.swiggy.com/stores/instamart/p/KYC22KI0W2?custom_back=true
197,2DTFXFAC0P,"Furnofy Premium Sparkle Solid Cushion Covers (16x16 Inches), Set of 5 - Silver",Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/9/4/94f18384-d84d-4309-9781-2b71a36af776_374249_1.png,1pack,https://www.swiggy.com/stores/instamart/p/2DTFXFAC0P?custom_back=true
198,4B6NIH34GK,Crocs Womens Kadee II Graphic Sandal Orange,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/ec85de71-36b2-4eb4-a0f2-f93221e19c8a_BeltsWalletsBagsinstamax_KM6X2H5JZC_MN.jpg,6UK,https://www.swiggy.com/stores/instamart/p/4B6NIH34GK?custom_back=true
199,JV7PYVFZ2K,Sunfeast Fantastik Choco Delights,Chocolates,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/3/17f6690d-59f1-4af0-b6ff-98cfa71df517_721828_1.png,136g,https://www.swiggy.com/stores/instamart/p/JV7PYVFZ2K?custom_back=true
200,O678IP490W,VI-JOHN Feather Touch Rose & Aloevera Hair Removal Wax Strips For Normal Skin,Beauty and Grooming,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/13/2a2c93fc-efe8-4e9f-a586-3d79ea5200ae_543889_1.png,10strips,https://www.swiggy.com/stores/instamart/p/O678IP490W?custom_back=true
201,9ZS7GU1N7Q,Crocs Mens Classic All-Terrain Flip Flop Yellow,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/2a5cb215-75f5-447e-a513-3ecc31a572d1_BeltsWalletsBagsinstamax_JYC8394U4F_MN.jpg,10UK,https://www.swiggy.com/stores/instamart/p/9ZS7GU1N7Q?custom_back=true
202,56JKTUUHR0,Crocs Womens Splash Slides Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/5037892c-4d61-4063-9cbb-4e75e3ace0d0_BeltsWalletsBagsinstamax_W11ADHVRAD_MN.PNG,5UK,https://www.swiggy.com/stores/instamart/p/56JKTUUHR0?custom_back=true
203,M0F0CD7KRN,Urban Platter Monosodium Glutamate Msg Shaker Jar,"Masala, Pickle and Papad",https://instamart-media-assets.swiggy.com/swiggy/image/upload/j10y4i0cuvwxvpwmw8xh,170g,https://www.swiggy.com/stores/instamart/p/M0F0CD7KRN?custom_back=true
204,4JBI2GEO9Z,"Nestle Munch Choco Fills, Breakfast Cereal, Double The Fun, Crunchy & Chocolatey",Cereals and Breakfast,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/24/47c381f3-2ec2-41f8-a8d7-c4d7faea0154_440264_1.png,30g,https://www.swiggy.com/stores/instamart/p/4JBI2GEO9Z?custom_back=true
205,XK4QIGI0DS,Diacraft Alta Liquid,Beauty and Grooming,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/7/24/65d243de-a98f-419e-8505-e95ae536ff81_beautyaccessories_XK4QIGI0DS_MN.png,1Piece,https://www.swiggy.com/stores/instamart/p/XK4QIGI0DS?custom_back=true
206,KK0VD4GCIL,Crocs Womens Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/f3936c45-116c-4458-b482-83e231cbc4bd_BeltsWalletsBagsinstamax_XGSZ0WRN6U_MN.jpg,1Piece,https://www.swiggy.com/stores/instamart/p/KK0VD4GCIL?custom_back=true
207,33MQHMSFAB,Oye Happy Spin Top (pack of 2),Toys,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/5/47a337d7-d54c-4bb3-81de-91098f8e9299_354372_4.png,2pieces,https://www.swiggy.com/stores/instamart/p/33MQHMSFAB?custom_back=true
208,5R40128ACW,Just Lil Things artifical-gold-bracelets-jltb0028,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/21/05fec8ec-d4a5-47ab-8fb4-4a14fffe73b2_864198_1.png,25g,https://www.swiggy.com/stores/instamart/p/5R40128ACW?custom_back=true
209,6931A83XXA,Diacraft Casino Poker Chips set of 200 with Cloth & Playing cards,Home and Kitchen Needs,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/9/4/e0cecc98-083f-4f29-9c15-ded5341f42e0_898146_1.png,200g,https://www.swiggy.com/stores/instamart/p/6931A83XXA?custom_back=true
210,APHDSCRQ2U,TMI COLMAN Potli mix Dryfruits Gift Hamper,Dry Fruits and Nuts,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/17/4ef23908-3e55-40a0-9146-0cb465e43b7e_814089_1.png,600g,https://www.swiggy.com/stores/instamart/p/APHDSCRQ2U?custom_back=true
211,8QQ5V0GL8W,Crocs Womens Classic Platform Flip Flop White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/76675cd7-37ed-41e4-ae09-d3af026d839d_BeltsWalletsBagsinstamax_NION8BKCV7_MN.jpg,7UK,https://www.swiggy.com/stores/instamart/p/8QQ5V0GL8W?custom_back=true
212,ITA5GF388M,ORGANIC INDIA Triphala 60 Cap,Nutraceuticals,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/12/03f29306-1852-4210-89f4-1cac4d18bd50_69248_1.png,60pieces,https://www.swiggy.com/stores/instamart/p/ITA5GF388M?custom_back=true
213,RMRX9L27WL,Crocs Womens Classic Platform Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/3adaa323-5741-49a1-b085-3275a29708f1_BeltsWalletsBagsinstamax_YW87YTZFM8_MN.jpg,5UK,https://www.swiggy.com/stores/instamart/p/RMRX9L27WL?custom_back=true
214,W64R25RCAF,playR Training T-Shirt Red - 2XL,Home and Kitchen Needs,https://instamart-media-assets.swiggy.com/swiggy/image/upload/e16447c0742c973dcaed2d086ece23d5,1Piece,https://www.swiggy.com/stores/instamart/p/W64R25RCAF?custom_back=true
215,MWXKSZ3VAA,Smartivity Colour Coder,Toys,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/24/0da75ea0-3130-415c-875a-1b440e0ae19b_864545_1.png,1pack,https://www.swiggy.com/stores/instamart/p/MWXKSZ3VAA?custom_back=true
216,G02JTCNZE3,Crocs Womens Kadee II Flip Flop Navy,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/28dc645c-8b07-4c16-8e8a-598bac9d5d2f_BeltsWalletsBagsinstamax_GNFZ0IHPYI_MN.PNG,3UK,https://www.swiggy.com/stores/instamart/p/G02JTCNZE3?custom_back=true
217,WLZS7Q5LK3,Crocs Mens Classic Animal Remix Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/3/27/0ad74d64-1b79-4cf9-938b-c66d8e2b1443_BeltsWalletsBagsinstamax_VUC1XAK2UZ_MN.JPG,5UK,https://www.swiggy.com/stores/instamart/p/WLZS7Q5LK3?custom_back=true
218,8N6M8PWQNG,PRAGATI Plain Curd 5 kg Jar,"Dairy, Bread and Eggs",https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/12/8f975440-5ec5-48e9-859c-dd4f43470c9a_184427_1.png,5kg,https://www.swiggy.com/stores/instamart/p/8N6M8PWQNG?custom_back=true
219,RNI53SXOLB,Patanjali Coconut Oil -500 ml (Jar),Edible Oils and Ghee,0,500ml,https://www.swiggy.com/stores/instamart/p/RNI53SXOLB?custom_back=true
220,SV23X0J8IU,Crocs Unisex All Terrain Flip Navy,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/c1e7497e1dcbb1e58a5b07d42e355e37,8UK,https://www.swiggy.com/stores/instamart/p/SV23X0J8IU?custom_back=true
221,RHPV038JT3,Mad Over Print Super Bro Black Tshirt,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/8/7/9839b3b0-b379-45c7-8012-6995e76915a1_524856_1.png,1L,https://www.swiggy.com/stores/instamart/p/RHPV038JT3?custom_back=true
222,SWZ4PYWO1C,Crocs Womens Classic Platform Flip Flop White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/9dca5aab-bd65-40a0-8c1c-9e09645703dc_BeltsWalletsBagsinstamax_C58LHDW7XM_MN.png,8UK,https://www.swiggy.com/stores/instamart/p/SWZ4PYWO1C?custom_back=true
223,8D3VGE650Q,Crocs Classic Crocs Slide Black_UK6,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/2d66eada-d4b3-4355-a09e-39948330cc3b_BeltsWalletsBagsinstamax_5S46HG8AKO_MN.PNG,6UK,https://www.swiggy.com/stores/instamart/p/8D3VGE650Q?custom_back=true
224,PCNOQPU5GC,Crocs Mens Classic Animal Remix Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/be308e1a-f94a-420d-8a3f-089aa76e217c_BeltsWalletsBagsinstamax_3XJJ68R1CJ_MN.jpg,3UK,https://www.swiggy.com/stores/instamart/p/PCNOQPU5GC?custom_back=true
225,FS88ETP91N,Crocs Womens Splash Glitter Flip Flop Grey,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/3/27/8fc11ea1-02f1-4588-87ec-95bcea58a0e9_BeltsWalletsBagsinstamax_XWRZT08FQ2_MN.JPG,4UK,https://www.swiggy.com/stores/instamart/p/FS88ETP91N?custom_back=true
226,Y7I3PHVJRM,Crocs Classic Crocs Slide Black_UK5,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/66f4a9805ec936b8f7944844c3fc4e20,5UK,https://www.swiggy.com/stores/instamart/p/Y7I3PHVJRM?custom_back=true
227,5LE1JZ60SF,Sparx Slippers SF0204G Blue Black- 6 UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/18/a5d3361e-c9ce-4a8e-9f06-7ebc621e0a4d_52270_1.png,6UK,https://www.swiggy.com/stores/instamart/p/5LE1JZ60SF?custom_back=true
228,SQ89YQA0OV,Crocs Mens Crocband Flip Flop Graphite/Volt Green,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/a472fc58-d6ee-463f-9e85-a05fa7442de5_BeltsWalletsBagsinstamax_FOQWA06XKL_MN.png,9UK,https://www.swiggy.com/stores/instamart/p/SQ89YQA0OV?custom_back=true
229,65BTIVLQAY,Picfest Super Hero Mask For Party Captain America,Party Planning,https://instamart-media-assets.swiggy.com/swiggy/image/upload/e6cd5722af065fc25e83cae306331da2,1Piece,https://www.swiggy.com/stores/instamart/p/65BTIVLQAY?custom_back=true
230,YKIDO1KPIN,Crocs Womens Kadee II Graphic Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/5c07045e-673b-4f1e-9cf4-ce652f9ee1c9_BeltsWalletsBagsinstamax_JRQS6077M5_MN.jpg,5UK,https://www.swiggy.com/stores/instamart/p/YKIDO1KPIN?custom_back=true
231,NYWLAMU4UW,Patanjali Dant Kanti Dental Cream Advance,Hygiene and Wellness,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/16/d87949ee-7c6c-42e1-8729-e160717cc4d8_672770_1.png,200g,https://www.swiggy.com/stores/instamart/p/NYWLAMU4UW?custom_back=true
232,7M8X9B1R9K,Just Lil Things-clip-on-earrings-gold-jlt10018,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/16/7b6507b7-9cee-427f-9e1e-9b6ba2728426_989101_2.png,25g,https://www.swiggy.com/stores/instamart/p/7M8X9B1R9K?custom_back=true
233,8C6C32UG9Z,Crocs Classic Crocs Marbled Sandal Brown,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/4/15/5ee4c1ab-df79-4bf9-a892-779291cf5ffb_BeltsWalletsBagsinstamax_HAFZ2IDMH8_MN.PNG,1Piece,https://www.swiggy.com/stores/instamart/p/8C6C32UG9Z?custom_back=true
234,81RH0XGBDS,Crocs Womens Kadee II Graphic Flip Flop White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/4/15/98e839b9-13c0-4613-abc3-b19d80474341_BeltsWalletsBagsinstamax_I27X65Q8G3_MN.PNG,1Piece,https://www.swiggy.com/stores/instamart/p/81RH0XGBDS?custom_back=true
235,8QVOAXNU37,Crocs Womens Flip Flop Green,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/236c3d6b-31a2-40bf-82c9-f48337e69f03_BeltsWalletsBagsinstamax_PDLWN9UU35_MN.jpg,1Piece,https://www.swiggy.com/stores/instamart/p/8QVOAXNU37?custom_back=true
236,N4WILKX7UD,Crocs Womens Kadee II Graphic Sandal White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/3/7/1db661fa-7b87-42c8-ac5c-bd5a64abb6db_BeltsWalletsBagsinstamax_4IOOI405HO_MN.jpg,3UK,https://www.swiggy.com/stores/instamart/p/N4WILKX7UD?custom_back=true
237,FN6925IWFE,Amool Sliced Cake,Bakery,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/26/2c5bba3b-f409-4e8b-8cb0-7c8a5f5645e8_958282_1.png,130g,https://www.swiggy.com/stores/instamart/p/FN6925IWFE?custom_back=true
238,D0BTSGQ3XQ,Crocs Womens Kadee II Graphic Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/70668795-e4ba-4960-b65a-5723e6ba8d06_BeltsWalletsBagsinstamax_3P96ZT57GP_MN.png,7UK,https://www.swiggy.com/stores/instamart/p/D0BTSGQ3XQ?custom_back=true
239,H9VM88KJGZ,Crocs Womens Splash Glossy Slides White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/3/27/3e9a5b97-bf27-4bea-826d-cae2b8b54da9_BeltsWalletsBagsinstamax_IYS3SJ5KAS_MN.JPG,4UK,https://www.swiggy.com/stores/instamart/p/H9VM88KJGZ?custom_back=true
240,ZP8AG0H1D5,"Cello Opalware Dazzle Series Plain Dinner Set, 18 Units | Opal Glass Dinner Set for 6 | Light-Weight, Daily Use Crockery Set for Dining | White Plate and Bowl Set",Kitchen and Dining,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/2/19/87296317-1217-47ed-9c28-a4effc4a368a_71356_1.png,1pack,https://www.swiggy.com/stores/instamart/p/ZP8AG0H1D5?custom_back=true
241,RJPLIVSF26,Crocs Mens Crocband Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/b19f88f9-0d74-45a5-9bd8-ad22078419b8_BeltsWalletsBagsinstamax_JKJO70BUFT_MN.jpg,9UK,https://www.swiggy.com/stores/instamart/p/RJPLIVSF26?custom_back=true
242,7BN186JS1J,Catch Shikanji,Cold Drinks and Juices,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/22/a55f0ffc-b1f3-4422-b5cd-409ee677822f_703571_1.png,300ml,https://www.swiggy.com/stores/instamart/p/7BN186JS1J?custom_back=true
243,ATRURSV5RO,Pai's Bakery Jeera rusk,Bakery,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/16/6a0912e2-37c2-4325-945c-d5ed34da2cb8_473490_1.png,100g,https://www.swiggy.com/stores/instamart/p/ATRURSV5RO?custom_back=true
244,6VNXDF97NM,Crocs Mens Classic II Clogs White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/4/20/a2d4c8ad-1cc4-437f-a36d-6997a8db79d5_BeltsWalletsBagsinstamax_J10J76MM7R_MN.jpg,6UK,https://www.swiggy.com/stores/instamart/p/6VNXDF97NM?custom_back=true
245,UOBFZ9N7X5,Just Lil Things Multi color Pin Earrings jlt12206,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/21/bc388787-ae12-4124-b756-d19d9dd42049_292480_1.png,25g,https://www.swiggy.com/stores/instamart/p/UOBFZ9N7X5?custom_back=true
246,ABHDVDY1TY,Crocs Mens Classic Crocs Sandal Blue_UK10,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/c49f654d-f9fc-4c8e-8e9e-3e6d8f588661_BeltsWalletsBagsinstamax_D1O1WK8YCO_MN.png,1Piece,https://www.swiggy.com/stores/instamart/p/ABHDVDY1TY?custom_back=true
247,FS0BSBCUDM,Crocs Unisex Mellow Flip Flop White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/9e7f1084-fc21-4739-81ee-10b296fc8986_BeltsWalletsBagsinstamax_QB48Y16DSV_MN.PNG,6UK,https://www.swiggy.com/stores/instamart/p/FS0BSBCUDM?custom_back=true
