Sl No,SPIN ID,Item Name,L1,IM Images,UOM,Instamart URL
523,OYDZ4T6QWL,D Decor Double Bed Sheet Em192-Wood Rose,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/6b344a66-f5ac-4ba3-b9f9-901d99bafed6_225440_1.png,1pack,https://www.swiggy.com/stores/instamart/p/OYDZ4T6QWL?custom_back=true
524,5U23MOKVO8,D Decor Double Bed Sheet Em187-Foam Green,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/c1bb364b-6616-4c5f-8cc4-143ad83d3c09_279824_1.png,1pack,https://www.swiggy.com/stores/instamart/p/5U23MOKVO8?custom_back=true
525,ATV3JUBXNO,D Decor Double Bed Sheet Em192-Straw,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/f40bc543-3331-4e4c-8c8d-aece3c780c53_642341_1.png,1pack,https://www.swiggy.com/stores/instamart/p/ATV3JUBXNO?custom_back=true
526,O2MLS917X9,D Decor Double Bed Sheet Em173-Natural,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/8ec5b7ce-a556-4812-a729-1868e0b7d7be_737796_1.png,1pack,https://www.swiggy.com/stores/instamart/p/O2MLS917X9?custom_back=true
527,D1O3Q3BG37,D Decor Double Bed Sheet Em182-Honey Yellow,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/1bc72175-9427-463d-95a3-79cb04dbd3ea_838189_1.png,1pack,https://www.swiggy.com/stores/instamart/p/D1O3Q3BG37?custom_back=true
528,QZZU8DT95S,D Decor Double Bed Sheet Em188-Teal,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/2efb145d-00c0-4701-99ee-d0cf5a1ea720_512584_1.png,1pack,https://www.swiggy.com/stores/instamart/p/QZZU8DT95S?custom_back=true
529,UTYWWYLTFK,D Decor Double Bed Sheet Em189-Rich Gold,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/4caf8e8a-944d-48ca-8562-bf80ea38296e_733963_1.png,1pack,https://www.swiggy.com/stores/instamart/p/UTYWWYLTFK?custom_back=true
530,7ZS9OPB41X,D Decor Double Bed Sheet Om10-Toasted Almond,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/235cbc14-c40d-4d1b-8c30-fe3591be55ad_453433_1.png,1pack,https://www.swiggy.com/stores/instamart/p/7ZS9OPB41X?custom_back=true
531,RYU2F8Z9SZ,D Decor Double Bed Sheet Om10-Aqua Blue,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/ede85760-11b7-4bf1-bed8-d90ea7e655fa_520439_1.png,1pack,https://www.swiggy.com/stores/instamart/p/RYU2F8Z9SZ?custom_back=true
532,XGBH3XWBKA,D Decor Double Bed Sheet Om09-Blue Fog,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/2fab0d61-5bba-4104-af0b-a04b0d4e2cd5_295744_1.png,1pack,https://www.swiggy.com/stores/instamart/p/XGBH3XWBKA?custom_back=true
533,YVTAJ0NPC5,D Decor Double Bed Sheet Om09-MUSTARD,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/14b30a70-9f12-43aa-a478-6d0f94f6bf55_735156_1.png,1pack,https://www.swiggy.com/stores/instamart/p/YVTAJ0NPC5?custom_back=true
534,3KKHXQZ8VJ,D Decor Double Bed Sheet Om08-Zen Blue,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/7/e166cbb2-47d0-4a93-9e64-ad335855a6a7_137022_1.png,1pack,https://www.swiggy.com/stores/instamart/p/3KKHXQZ8VJ?custom_back=true
535,BXLCC9C4PS,D Decor Double Bed Sheet Om08-Pale Green,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/31/2392a25f-a948-4395-9b07-515873a5b83d_124309_1.png,1pack,https://www.swiggy.com/stores/instamart/p/BXLCC9C4PS?custom_back=true
536,FOYYBJX8W1,D Decor Double Bed Sheet Om07-Ochre,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/31/b7935e68-9c52-438d-bbd3-83c59332b7a0_394532_1.png,1pack,https://www.swiggy.com/stores/instamart/p/FOYYBJX8W1?custom_back=true
537,090CWKFYGV,D Decor Double Bed Sheet Om07-Pastel Turquoise,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/31/58c4c20e-9ba9-4857-8073-0b08e4c20c62_136869_1.png,1pack,https://www.swiggy.com/stores/instamart/p/090CWKFYGV?custom_back=true
538,RRW4GWRJZP,D Decor Double Bed Sheet Om06-Dove,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/0e784f51-4c34-4f4f-ae0a-032be39b2854_901212_1.png,1pack,https://www.swiggy.com/stores/instamart/p/RRW4GWRJZP?custom_back=true
539,8LKRDMN5PB,D Decor Double Bed Sheet Om06-Lilac Sachet,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/47af23c0-4fb3-4e5a-85b4-2d1dcd365823_990628_1.png,1pack,https://www.swiggy.com/stores/instamart/p/8LKRDMN5PB?custom_back=true
540,PH41AFSVJC,TIED RIBBONS Donut Flower Vase - White,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/67e05644-fa50-4eb1-91ec-553e349c1f58_358245_6.png,1pack,https://www.swiggy.com/stores/instamart/p/PH41AFSVJC?custom_back=true
541,9SG0OASL1A,TIED RIBBONS Mini Couple Statue,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/1/2217a4d9-d158-4460-b45e-acb1ad24f0d8_891274_1.png,1pack,https://www.swiggy.com/stores/instamart/p/9SG0OASL1A?custom_back=true
542,TW9TG16YFW,styli Women Black Plain Quilted Shoulder Bag,Bags Wallets Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/23/17a24899-6693-48aa-a50d-df62a068e88d_922990_3.png,1pack,https://www.swiggy.com/stores/instamart/p/TW9TG16YFW?custom_back=true
543,BNO6W1IZ3F,styli Women Black Textured Flap Over Handbag With Chain Strap,Bags Wallets Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/23/e129fcd1-7c50-4f42-84be-6d04c2f099e7_328694_4.png,1pack,https://www.swiggy.com/stores/instamart/p/BNO6W1IZ3F?custom_back=true
544,Z33KM2VL5C,"Furnofy Reversible Comforter Single Bed (150x224 cm) Light Weight AC Quilt, Microfiber, Pack of 1, Abstract Blue",Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/22/1d866d91-914b-4693-8f1a-d62e0f62d6a0_482814_1.png,1pack,https://www.swiggy.com/stores/instamart/p/Z33KM2VL5C?custom_back=true
545,2PKR2TUWUY,"Furnofy Reversible Comforter Single Bed (150x224 cm) Light Weight AC Quilt, Microfiber, Pack of 1, Grey",Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/5/55c33d3c-49c2-4c93-91c0-742da5e3e63d_629923_1.jpg,1pack,https://www.swiggy.com/stores/instamart/p/2PKR2TUWUY?custom_back=true
546,J4G1TDBFFV,"Furnofy Reversible Comforter Single Bed (150x224 cm) Light Weight AC Quilt, Microfiber, Pack of 1, Beige",Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/9/1e4e1ce9-e13e-4475-a17a-7b3bd7045dec_213167_1.png,1pack,https://www.swiggy.com/stores/instamart/p/J4G1TDBFFV?custom_back=true
547,3PF4CPKNR6,"Furnofy 200 GSM Premium King Size Reversible Comforter/Quilt (200x224 cm) - Microfiber, Pack of 1, Abstract Brown",Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/29/a7b25cd1-67a2-4337-9f2d-ff8568363019_422253_1.png,1pack,https://www.swiggy.com/stores/instamart/p/3PF4CPKNR6?custom_back=true
548,6TWBQSY9A5,Furnofy Reversible King Size Comforter (200x220 cm) Light Weight,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/9/70a0efad-7653-4509-9198-ecb157841f1b_578166_1.png,1pack,https://www.swiggy.com/stores/instamart/p/6TWBQSY9A5?custom_back=true
549,OIOXPDWLJ3,Furnofy Reversible King Size Comforter (200x220 cm),Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/9/f8fa89df-efc2-4b1a-8171-0dcba8181d05_561238_1.png,1pack,https://www.swiggy.com/stores/instamart/p/OIOXPDWLJ3?custom_back=true
